Genes	Disease	Inheritance	MIM	Disorder_Group	Project	GenCC
NR0B1	Adrenal hypoplasia, congenital (AHC)	XLR	300200	Endocrine disorders	ACMG_Carrier_Tier_3	Definitive-Ambry Genetics;G2P;Myriad Women’s Health; Strong-Labcorp Genetics (formerly Invitae)
OTC	Ornithine transcarbamylase deficiency	XLR	311250	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Definitive-Laboratory for Molecular Medicine;G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
PLP1	Spastic paraplegia 2, X-linked (SPG2)	XLR	312920	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	ACMG_Carrier_Tier_3	Moderate-Ambry Genetics; Definitive-G2P
RPGR	Retinitis pigmentosa 3 (RP3; RP)	XLR	300029	Inherited disorders of metabolism;Eye disorders	ACMG_Carrier_Tier_3	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
RPGR	Retinitis pigmentosa, X-linked, and sinorespiratory	XLR	300455	Inherited disorders of metabolism;Eye disorders	ACMG_Carrier_Tier_3	Strong-Labcorp Genetics (formerly Invitae)
RPGR	Infections, with or without deafness	XLR	300834	Hearing disorders	ACMG_Carrier_Tier_3	Limited-G2P
RPGR	Macular degeneration, X-linked atrophic	XLR	300834	Eye disorders	ACMG_Carrier_Tier_3	Limited-G2P
RS1	Retinoschisis 1, X-linked, juvenile (RS1)	XLR	312700	Eye disorders	ACMG_Carrier_Tier_3	Definitive-Ambry Genetics;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
SLC6A8	Cerebral creatine deficiency syndrome 1 (CCDS1)	XLR	300352	Inherited disorders of metabolism	ACMG_Carrier_Tier_3	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
APC	Familial adenomatous polyposis	AD	175100	Tumor predisposition syndromes	ACMGv3.3	Moderate-Genomics England PanelApp; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics
BMPR1A	Juvenile polyposis syndrome	AD	174900	Tumor predisposition syndromes	ACMGv3.3	Strong-Genomics England PanelApp; Strong-Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics; Definitive-G2P;ClinGen
BRCA1	Hereditary breast and ovarian cancer	AD	604370	Tumor predisposition syndromes	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;ClinGen
BRCA2	Hereditary breast and ovarian cancer	AD	612555	Tumor predisposition syndromes	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;ClinGen
MAX	Hereditary paraganglioma-pheochromocytoma syndrome	AD	171300	Tumor predisposition syndromes	ACMGv3.3	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
MEN1	Multiple endocrine neoplasia type 1	AD	131100	Tumor predisposition syndromes	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Limited-Ambry Genetics; Definitive-G2P;ClinGen
MLH1	Lynch syndrome	AD	609310	Tumor predisposition syndromes	ACMGv3.3	Strong-Genomics England PanelApp; Definitive-Ambry Genetics
MSH2	Lynch syndrome	AD	120435	Tumor predisposition syndromes	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics
MSH6	Lynch syndrome	AD	614350	Tumor predisposition syndromes	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine
MUTYH	MUTYH-associated polyposis	AR	608456	Tumor predisposition syndromes	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
NF2	NF2-related schwannomatosis	AD	101000	Tumor predisposition syndromes	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;G2P;ClinGen
PALB2	Hereditary breast cancer	AD	114480	Tumor predisposition syndromes	ACMGv3.3	Definitive-Ambry Genetics;ClinGen
PMS2	Lynch syndrome	AD	614337	Tumor predisposition syndromes	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P
PTEN	PTEN hamartoma tumor syndrome	AD	158350	Tumor predisposition syndromes	ACMGv3.3	Definitive-G2P;Ambry Genetics; Moderate-Genomics England PanelApp;Ambry Genetics; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
RB1	Retinoblastoma	AD	180200	Tumor predisposition syndromes	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;G2P
RET	Familial medullary thyroid cancer	AD	155240	Tumor predisposition syndromes	ACMGv3.3	Definitive-G2P
RET	Multiple endocrine neoplasia type 2A	AD	171400	Tumor predisposition syndromes	ACMGv3.3	Definitive-G2P;ClinGen
RET	Multiple endocrine neoplasia type 2B	AD	162300	Tumor predisposition syndromes	ACMGv3.3	Definitive-G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
SDHAF2	Hereditary paraganglioma-pheochromocytoma syndrome	AD	601650	Tumor predisposition syndromes	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics; Definitive-G2P
SDHB	Hereditary paraganglioma-pheochromocytoma syndrome	AD	115310.1713	Tumor predisposition syndromes	ACMGv3.3	
SDHC	Hereditary paraganglioma-pheochromocytoma syndrome	AD	605373	Tumor predisposition syndromes	ACMGv3.3	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae); Definitive-G2P
SDHD	Hereditary paraganglioma-pheochromocytoma syndrome	AD	168000.1713	Tumor predisposition syndromes	ACMGv3.3	
SMAD4	Juvenile polyposis syndrome	AD	174900	Tumor predisposition syndromes	ACMGv3.3	Strong-Genomics England PanelApp; Strong-Labcorp Genetics (formerly Invitae)
STK11	Peutz-Jeghers syndrome	AD	175200	Tumor predisposition syndromes	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
TMEM127	Hereditary paraganglioma-pheochromocytoma syndrome	AD	171300	Tumor predisposition syndromes	ACMGv3.3	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
TP53	Li-Fraumeni syndrome	AD	151623	Tumor predisposition syndromes	ACMGv3.3	Strong-Genomics England PanelApp; Strong-Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics; Definitive-G2P;ClinGen
TSC1	Tuberous sclerosis complex	AD	191100	Tumor predisposition syndromes	ACMGv3.3	Definitive-G2P;Ambry Genetics; Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
TSC2	Tuberous sclerosis complex	AD	613254	Tumor predisposition syndromes	ACMGv3.3	Definitive-G2P;Laboratory for Molecular Medicine;Ambry Genetics; Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
VHL	Von Hippel-Lindau syndrome	AD	193300	Tumor predisposition syndromes	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
WT1	WT1-related Wilms tumor	AD	194070	Tumor predisposition syndromes	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
ACTA2	Familial thoracic aortic aneurysm	AD	611788	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
ACTC1	Hypertrophic cardiomyopathy	AD	612098	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Ambry Genetics;Labcorp Genetics (formerly Invitae); Definitive-G2P
APOB	Familial hypercholesterolemia	AD	144010	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;G2P;ClinGen
BAG3	Dilated cardiomyopathy	AD	613881	Cardiac and vascular disorders	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
BAG3	Myofibrillar myopathy	AD	612954	Cardiac and vascular disorders	ACMGv3.3	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
CALM1	Long-QT syndrome type 14	AD	616247	Cardiac and vascular disorders	ACMGv3.3	Strong-Ambry Genetics; Definitive-G2P
CALM1	Catecholaminergic polymorphic ventricular tachycardia	AD	614916	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Moderate-G2P
CALM2	Long-QT syndrome type 15	AD	616249	Cardiac and vascular disorders	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
CALM2	Catecholaminergic polymorphic ventricular tachycardia	AD	616249	Cardiac and vascular disorders	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
CALM3	Long-QT syndrome type 16	AD	618782	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
CALM3	Catecholaminergic polymorphic ventricular tachycardia	AD	618782	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
CASQ2	Catecholaminergic polymorphic ventricular tachycardia	AR	611938	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics;G2P; Definitive-G2P
COL3A1	Ehlers-Danlos syndrome, vascular type	AD	130050	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;G2P
DES	Dliated cardiomyopathy	AD	604765	Cardiac and vascular disorders	ACMGv3.3	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae); Definitive-G2P
DES	Myofibrillar myopathy	AD	601419	Cardiac and vascular disorders	ACMGv3.3	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
DSC2	Arrhythmogenic right ventricular cardiomyopathy	AD	610476	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;G2P; Limited-Labcorp Genetics (formerly Invitae)
DSG2	Arrhythmogenic right ventricular cardiomyopathy	AD	610193	Cardiac and vascular disorders	ACMGv3.3	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics
DSP	Arrhythmogenic right ventricular cardiomyopathy	AD	607450	Cardiac and vascular disorders	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
DSP	Dilated cardiomyopathy	AD	615821	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics
FBN1	Marfan syndrome	AD	154700	Cardiac and vascular disorders	ACMGv3.3	Definitive-G2P;Ambry Genetics;ClinGen; Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
FLNC	Dilated cardiomyopathy	AD	n/a	Cardiac and vascular disorders	ACMGv3.3	
FLNC	Hypertrophic cardiomyopathy	AD	617047	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics
FLNC	Myofibrillar myopathy	AD	609524	Cardiac and vascular disorders	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
KCNH2	Long-QT syndrome type 2	AD	613688	Cardiac and vascular disorders	ACMGv3.3	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
KCNQ1	Long-QT syndrome type 1	AD	192500	Cardiac and vascular disorders	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
LDLR	Familial hypercholesterolemia	AD	143890	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;ClinGen
LMNA	Dilated cardiomyopathy	AD	115200	Cardiac and vascular disorders	ACMGv3.3	Definitive-Ambry Genetics;G2P
MYBPC3	Hypertrophic cardiomyopathy	AD	115197	Cardiac and vascular disorders	ACMGv3.3	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae);Ambry Genetics
MYH11	Familial thoracic aortic aneurysm	AD	132900	Cardiac and vascular disorders	ACMGv3.3	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
MYH7	Hypertrophic cardiomyopathy	AD	192600	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;G2P
MYH7	Dilated cardiomyopathy	AD	613426	Cardiac and vascular disorders	ACMGv3.3	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae); Definitive-G2P
MYL2	Hypertrophic cardiomyopathy	AD	608758	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
MYL3	Hypertrophic cardiomyopathy	AD	608751	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Ambry Genetics;Labcorp Genetics (formerly Invitae); Definitive-G2P
PCSK9	Familial hypercholesterolemia	AD	603776	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-ClinGen;Ambry Genetics
PKP2	Arrhythmogenic right ventricular cardiomyopathy	AD	609040	Cardiac and vascular disorders	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
PLN	Dilated cardiomyopathy	AD	609909	Cardiac and vascular disorders	ACMGv3.3	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae); Definitive-G2P
RBM20	Dliated cardiomyopathy	AD	613172	Cardiac and vascular disorders	ACMGv3.3	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae); Definitive-G2P
RYR2	Catecholaminergic polymorphic ventricular tachycardia	AD	604772	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
SCN5A	Long QT syndrome type 3	AD	603830	Cardiac and vascular disorders	ACMGv3.3	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
SCN5A	Brugada syndrome	AD	601144	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;Laboratory for Molecular Medicine;G2P
SCN5A	Dilated cardiomyopathy	AD	601154	Cardiac and vascular disorders	ACMGv3.3	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
SMAD3	Loeys-Dietz syndrome	AD	613795	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
TGFBR1	Loeys-Dietz syndrome	AD	609192	Cardiac and vascular disorders	ACMGv3.3	Definitive-G2P; Strong-PanelApp Australia;Genomics England PanelApp;Ambry Genetics;Labcorp Genetics (formerly Invitae)
TGFBR2	Loeys-Dietz syndrome	AD	610168	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
TMEM43	Arrhythmogenic right ventricular cardiomyopathy	AD	604400	Cardiac and vascular disorders	ACMGv3.3	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
TNNC1	Dilated cardiomyopathy	AD	611879	Cardiac and vascular disorders	ACMGv3.3	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
TNNI3	Hypertrophic cardiomyopathy	AD	613690	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
TNNT2	Dilated cardiomyopathy	AD	601494	Cardiac and vascular disorders	ACMGv3.3	Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
TNNT2	Hypertrophic cardiomyopathy	AD	115195	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;G2P
TPM1	Hypertrophic cardiomyopathy	AD	115196	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
TRDN	Catecholaminergic polymorphic ventricular tachycardia	AR	615441	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P
TRDN	Long QT syndrome	AR	n/a	Cardiac and vascular disorders	ACMGv3.3	
TTN	Dilated cardiomyopathy (truncating variants only)	AD	604145	Cardiac and vascular disorders	ACMGv3.3	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
GLA	Fabry disease	XL	301500	Cardiac and vascular disorders;Inherited disorders of metabolism	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
PRKAG2	Hypertrophic cardiomyopathy	AD	600858	Cardiac and vascular disorders;Inherited disorders of metabolism	ACMGv3.3	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
ABCD1	X-linked adrenoleukodystrophy	XL	300100	Inherited disorders of metabolism	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine; Definitive-G2P;ClinGen
BTD	Biotinidase deficiency	AR	253260	Inherited disorders of metabolism	ACMGv3.3	Definitive-G2P;Ambry Genetics;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
CYP27A1	Cerebrotendinous xanthomatosis	AR	213700	Inherited disorders of metabolism	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;Myriad Women’s Health
GAA	Pompe disease	AR	232300	Inherited disorders of metabolism	ACMGv3.3	Definitive-G2P;Laboratory for Molecular Medicine;ClinGen; Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
OTC	Ornithine transcarbamylase deficiency	XL	311250	Inherited disorders of metabolism	ACMGv3.3	Definitive-Laboratory for Molecular Medicine;G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ACVRL1	Hereditary hemorrhagic telangiectasia	AD	600376	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
ATP7B	Wilson disease	AR	277900	Inherited disorders of metabolism	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-ClinGen
CACNA1S	Malignant hyperthermia	AD	601887	Inherited disorders of metabolism	ACMGv3.3	Moderate-Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ENG	Hereditary hemorrhagic telangiectasia	AD	187300	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
HFE	Hereditary hemochromatosis	AR	235200	Cardiac and vascular disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;G2P
HNF1A	Maturity-Onset of Diabetes of the Young	AD	600496	Inherited disorders of metabolism;Endocrine disorders	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
RPE65	RPE65-related retinopathy	AR	204100,613794	Eye disorders	ACMGv3.3	
RYR1	Malignant hyperthermia	AD	145600	Inherited disorders of metabolism	ACMGv3.3	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;ClinGen
SMAD4	Hereditary hemorrhagic telangiectasia	AD	175050	Cardiac and vascular disorders	ACMGv3.3	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
TTR	Hereditary transthyretin-related amyloidosis	AD	105210	Complex genetic syndromes	ACMGv3.3	Strong-Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics; Definitive-G2P
ALOXE3	Autosomal recessive congenital ichthyosis 2	AR	242100	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	
ALOXE3	Autosomal recessive congenital ichthyosis 3	AR	606545	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae);PanelApp Australia; Definitive-G2P
